"年月","エリア","電源種別","前年度平均価格","当年度月間平均価格","前年度月間平均価格"
"2025/06","北陸","水力","11.81","10.66","9.84"
"2025/06","北陸","バイオマス","11.81","10.66","9.84"
"2025/06","北陸","地熱","11.81","10.66","9.84"
"2025/06","関西","太陽光","9.26","9.57","7.01"
"2025/06","関西","風力","12.19","10.44","9.69"
"2025/06","関西","水力","11.71","10.69","9.80"
"2025/06","関西","バイオマス","11.71","10.69","9.80"
"2025/06","関西","地熱","11.71","10.69","9.80"
"2025/06","中国","太陽光","9.20","6.39","6.70"
"2025/06","中国","風力","11.90","9.35","9.58"
"2025/06","中国","水力","11.66","9.42","9.68"
"2025/06","中国","バイオマス","11.66","9.42","9.68"
"2025/06","中国","地熱","11.66","9.42","9.68"
"2025/06","四国","太陽光","8.21","6.13","5.86"
"2025/06","四国","風力","10.61","9.48","9.38"
"2025/06","四国","水力","10.67","9.26","9.28"
"2025/06","四国","バイオマス","10.67","9.26","9.28"
"2025/06","四国","地熱","10.67","9.26","9.28"
"2025/06","九州","太陽光","7.40","6.39","5.83"
"2025/06","九州","風力","11.39","9.56","9.65"
"2025/06","九州","水力","10.86","9.39","9.56"
"2025/06","九州","バイオマス","10.86","9.39","9.56"
"2025/06","九州","地熱","10.86","9.39","9.56"
"2025/06","沖縄","太陽光","10.27","9.71","9.15"
"2025/06","沖縄","風力","12.82","9.75","11.03"
"2025/06","沖縄","水力","12.29","10.87","10.92"
"2025/06","沖縄","バイオマス","12.29","10.87","10.92"
"2025/06","沖縄","地熱","12.29","10.87","10.92"
"2025/07","北海道","太陽光","9.30","10.71","10.35"
"2025/07","北海道","風力","12.33","12.06","12.49"
"2025/07","北海道","水力","12.64","13.09","12.64"
"2025/07","北海道","バイオマス","12.64","13.09","12.64"
"2025/07","北海道","地熱","12.64","13.09","12.64"
"2025/07","東北","太陽光","9.18","10.64","9.41"
"2025/07","東北","風力","12.66","12.74","11.86"
"2025/07","東北","水力","12.71","13.02","12.19"
"2025/07","東北","バイオマス","12.71","13.02","12.19"
"2025/07","東北","地熱","12.71","13.02","12.19"
"2025/07","東京","太陽光","11.43","13.12","16.17"
"2025/07","東京","風力","13.68","13.82","16.51"
"2025/07","東京","水力","13.68","13.89","15.79"
"2025/07","東京","バイオマス","13.68","13.89","15.79"
"2025/07","東京","地熱","13.68","13.89","15.79"
"2025/07","中部","太陽光","9.73","13.06","13.79"
"2025/07","中部","風力","13.31","13.74","15.55"
"2025/07","中部","水力","12.86","13.85","14.82"
"2025/07","中部","バイオマス","12.86","13.85","14.82"
"2025/07","中部","地熱","12.86","13.85","14.82"
"2025/07","北陸","太陽光","9.12","13.23","13.26"
"2025/07","北陸","風力","12.11","12.98","14.27"
"2025/07","北陸","水力","11.81","13.31","13.94"
"2025/07","北陸","バイオマス","11.81","13.31","13.94"
"2025/07","北陸","地熱","11.81","13.31","13.94"
"2025/07","関西","太陽光","9.26","13.23","13.80"
"2025/07","関西","風力","12.19","13.07","15.23"
"2025/07","関西","水力","11.71","13.38","14.02"
"2025/07","関西","バイオマス","11.71","13.38","14.02"
"2025/07","関西","地熱","11.71","13.38","14.02"
"2025/07","中国","太陽光","9.20","9.62","14.01"
"2025/07","中国","風力","11.90","11.01","13.98"
"2025/07","中国","水力","11.66","11.71","13.99"
"2025/07","中国","バイオマス","11.66","11.71","13.99"
"2025/07","中国","地熱","11.66","11.71","13.99"
"2025/07","四国","太陽光","8.21","7.28","13.20"
"2025/07","四国","風力","10.61","9.03","16.18"
"2025/07","四国","水力","10.67","9.60","14.08"
"2025/07","四国","バイオマス","10.67","9.60","14.08"
"2025/07","四国","地熱","10.67","9.60","14.08"
"2025/07","九州","太陽光","7.40","9.41","11.49"
"2025/07","九州","風力","11.39","11.24","13.41"
"2025/07","九州","水力","10.86","11.37","12.95"
"2025/07","九州","バイオマス","10.86","11.37","12.95"
"2025/07","九州","地熱","10.86","11.37","12.95"
"2025/07","沖縄","太陽光","10.27","11.75","13.82"
"2025/07","沖縄","風力","12.82","12.31","15.77"
"2025/07","沖縄","水力","12.29","12.75","14.15"
"2025/07","沖縄","バイオマス","12.29","12.75","14.15"
"2025/07","沖縄","地熱","12.29","12.75","14.15"
"2025/08","北海道","太陽光","9.30","10.76","11.66"
"2025/08","北海道","風力","12.33","13.12","12.86"
"2025/08","北海道","水力","12.64","13.52","13.09"
"2025/08","北海道","バイオマス","12.64","13.52","13.09"
"2025/08","北海道","地熱","12.64","13.52","13.09"
"2025/08","東北","太陽光","9.18","10.61","12.05"
"2025/08","東北","風力","12.66","12.63","14.14"
"2025/08","東北","水力","12.71","12.68","13.66"
"2025/08","東北","バイオマス","12.71","12.68","13.66"
"2025/08","東北","地熱","12.71","12.68","13.66"
"2025/08","東京","太陽光","11.43","12.49","14.57"
"2025/08","東京","風力","13.68","13.49","14.99"
"2025/08","東京","水力","13.68","13.21","14.89"
"2025/08","東京","バイオマス","13.68","13.21","14.89"
"2025/08","東京","地熱","13.68","13.21","14.89"
"2025/08","中部","太陽光","9.73","11.78","13.96"
"2025/08","中部","風力","13.31","13.26","16.11"
"2025/08","中部","水力","12.86","12.61","15.24"
"2025/08","中部","バイオマス","12.86","12.61","15.24"
"2025/08","中部","地熱","12.86","12.61","15.24"
"2025/08","北陸","太陽光","9.12","11.27","14.70"
"2025/08","北陸","風力","12.11","12.50","14.81"
"2025/08","北陸","水力","11.81","11.38","14.87"
"2025/08","北陸","バイオマス","11.81","11.38","14.87"
"2025/08","北陸","地熱","11.81","11.38","14.87"
"2025/08","関西","太陽光","9.26","11.59","14.30"
"2025/08","関西","風力","12.19","11.72","16.88"
"2025/08","関西","水力","11.71","11.42","15.05"
"2025/08","関西","バイオマス","11.71","11.42","15.05"
"2025/08","関西","地熱","11.71","11.42","15.05"
"2025/08","中国","太陽光","9.20","9.21","13.90"
"2025/08","中国","風力","11.90","11.33","16.35"
"2025/08","中国","水力","11.66","10.43","14.98"
"2025/08","中国","バイオマス","11.66","10.43","14.98"
"2025/08","中国","地熱","11.66","10.43","14.98"
"2025/08","四国","太陽光","8.21","6.48","13.76"
"2025/08","四国","風力","10.61","8.74","16.31"
"2025/08","四国","水力","10.67","8.70","15.17"
"2025/08","四国","バイオマス","10.67","8.70","15.17"
"2025/08","四国","地熱","10.67","8.70","15.17"
"2025/08","九州","太陽光","7.40","8.91","11.85"
"2025/08","九州","風力","11.39","11.33","16.52"
"2025/08","九州","水力","10.86","10.37","14.15"
"2025/08","九州","バイオマス","10.86","10.37","14.15"
"2025/08","九州","地熱","10.86","10.37","14.15"
"2025/08","沖縄","太陽光","10.27","11.21","14.30"
"2025/08","沖縄","風力","12.82","11.76","15.84"
"2025/08","沖縄","水力","12.29","11.98","14.48"
"2025/08","沖縄","バイオマス","12.29","11.98","14.48"
"2025/08","沖縄","地熱","12.29","11.98","14.48"
"2025/09","北海道","太陽光","9.30","7.74","10.13"
"2025/09","北海道","風力","12.33","11.15","13.44"
"2025/09","北海道","水力","12.64","12.11","13.18"
"2025/09","北海道","バイオマス","12.64","12.11","13.18"
"2025/09","北海道","地熱","12.64","12.11","13.18"
"2025/09","東北","太陽光","9.18","8.01","12.39"
"2025/09","東北","風力","12.66","11.10","14.44"
"2025/09","東北","水力","12.71","11.35","14.31"
"2025/09","東北","バイオマス","12.71","11.35","14.31"
"2025/09","東北","地熱","12.71","11.35","14.31"
"2025/09","東京","太陽光","11.43","12.43","15.22"
"2025/09","東京","風力","13.68","12.66","14.66"
"2025/09","東京","水力","13.68","12.95","15.22"
"2025/09","東京","バイオマス","13.68","12.95","15.22"
"2025/09","東京","地熱","13.68","12.95","15.22"
"2025/09","中部","太陽光","9.73","11.22","13.41"
"2025/09","中部","風力","13.31","11.85","14.67"
"2025/09","中部","水力","12.86","12.03","14.78"
"2025/09","中部","バイオマス","12.86","12.03","14.78"
"2025/09","中部","地熱","12.86","12.03","14.78"
"2025/09","北陸","太陽光","9.12","11.07","12.71"
"2025/09","北陸","風力","12.11","10.90","12.17"
"2025/09","北陸","水力","11.81","11.24","13.48"
"2025/09","北陸","バイオマス","11.81","11.24","13.48"
"2025/09","北陸","地熱","11.81","11.24","13.48"
"2025/09","関西","太陽光","9.26","11.28","12.31"
"2025/09","関西","風力","12.19","11.28","12.97"
"2025/09","関西","水力","11.71","11.28","13.05"
"2025/09","関西","バイオマス","11.71","11.28","13.05"
"2025/09","関西","地熱","11.71","11.28","13.05"
"2025/09","中国","太陽光","9.20","9.39","12.33"
"2025/09","中国","風力","11.90","10.06","12.57"
"2025/09","中国","水力","11.66","10.59","13.06"
"2025/09","中国","バイオマス","11.66","10.59","13.06"
"2025/09","中国","地熱","11.66","10.59","13.06"
"2025/09","四国","太陽光","8.21","7.62","12.31"
"2025/09","四国","風力","10.61","9.38","13.31"
"2025/09","四国","水力","10.67","9.63","13.02"
"2025/09","四国","バイオマス","10.67","9.63","13.02"
"2025/09","四国","地熱","10.67","9.63","13.02"
"2025/09","九州","太陽光","7.40","9.44","9.23"
"2025/09","九州","風力","11.39","10.30","12.41"
"2025/09","九州","水力","10.86","10.56","11.92"
"2025/09","九州","バイオマス","10.86","10.56","11.92"
"2025/09","九州","地熱","10.86","10.56","11.92"
"2025/09","沖縄","太陽光","10.27","11.03","13.19"
"2025/09","沖縄","風力","12.82","11.04","15.64"
"2025/09","沖縄","水力","12.29","11.62","13.96"
"2025/09","沖縄","バイオマス","12.29","11.62","13.96"
"2025/09","沖縄","地熱","12.29","11.62","13.96"
"2025/10","北海道","太陽光","9.30","7.81","9.19"
"2025/10","北海道","風力","12.33","11.43","12.39"
"2025/10","北海道","水力","12.64","12.85","12.99"
"2025/10","北海道","バイオマス","12.64","12.85","12.99"
"2025/10","北海道","地熱","12.64","12.85","12.99"
"2025/10","東北","太陽光","9.18","8.15","10.66"
"2025/10","東北","風力","12.66","11.73","14.72"
"2025/10","東北","水力","12.71","12.09","14.50"
"2025/10","東北","バイオマス","12.71","12.09","14.50"
"2025/10","東北","地熱","12.71","12.09","14.50"
"2025/10","東京","太陽光","11.43","11.39","13.08"
"2025/10","東京","風力","13.68","13.13","15.55"
"2025/10","東京","水力","13.68","13.06","15.34"
"2025/10","東京","バイオマス","13.68","13.06","15.34"
"2025/10","東京","地熱","13.68","13.06","15.34"
"2025/10","中部","太陽光","9.73","9.97","8.58"
"2025/10","中部","風力","13.31","11.68","12.05"
"2025/10","中部","水力","12.86","11.72","11.88"
"2025/10","中部","バイオマス","12.86","11.72","11.88"
"2025/10","中部","地熱","12.86","11.72","11.88"
"2025/10","北陸","太陽光","9.12","9.53","8.10"
"2025/10","北陸","風力","12.11","11.01","11.23"
"2025/10","北陸","水力","11.81","11.22","10.95"
"2025/10","北陸","バイオマス","11.81","11.22","10.95"
"2025/10","北陸","地熱","11.81","11.22","10.95"
"2025/10","関西","太陽光","9.26","9.86","8.51"
"2025/10","関西","風力","12.19","11.32","10.76"
"2025/10","関西","水力","11.71","11.29","10.94"
"2025/10","関西","バイオマス","11.71","11.29","10.94"
"2025/10","関西","地熱","11.71","11.29","10.94"
"2025/10","中国","太陽光","9.20","8.96","8.60"
"2025/10","中国","風力","11.90","11.65","11.03"
"2025/10","中国","水力","11.66","11.14","10.95"
"2025/10","中国","バイオマス","11.66","11.14","10.95"
"2025/10","中国","地熱","11.66","11.14","10.95"
"2025/10","四国","太陽光","8.21","6.83","8.49"
"2025/10","四国","風力","10.61","9.43","10.81"
"2025/10","四国","水力","10.67","9.29","10.88"
"2025/10","四国","バイオマス","10.67","9.29","10.88"
"2025/10","四国","地熱","10.67","9.29","10.88"
"2025/10","九州","太陽光","7.40","8.37","7.39"
"2025/10","九州","風力","11.39","10.86","10.81"
"2025/10","九州","水力","10.86","10.75","10.42"
"2025/10","九州","バイオマス","10.86","10.75","10.42"
"2025/10","九州","地熱","10.86","10.75","10.42"
"2025/10","沖縄","太陽光","10.27","10.28","10.65"
"2025/10","沖縄","風力","12.82","11.62","13.01"
"2025/10","沖縄","水力","12.29","11.67","12.68"
"2025/10","沖縄","バイオマス","12.29","11.67","12.68"
"2025/10","沖縄","地熱","12.29","11.67","12.68"
"2025/11","北海道","太陽光","9.30","7.57","10.62"
"2025/11","北海道","風力","12.33","10.50","13.24"
"2025/11","北海道","水力","12.64","11.14","13.73"
"2025/11","北海道","バイオマス","12.64","11.14","13.73"
"2025/11","北海道","地熱","12.64","11.14","13.73"
"2025/11","東北","太陽光","9.18","7.07","10.19"
"2025/11","東北","風力","12.66","10.47","13.59"
"2025/11","東北","水力","12.71","10.80","13.83"
"2025/11","東北","バイオマス","12.71","10.80","13.83"
"2025/11","東北","地熱","12.71","10.80","13.83"
"2025/11","東京","太陽光","11.43","9.92","11.16"
"2025/11","東京","風力","13.68","11.80","14.03"
"2025/11","東京","水力","13.68","11.87","14.18"
"2025/11","東京","バイオマス","13.68","11.87","14.18"
"2025/11","東京","地熱","13.68","11.87","14.18"
"2025/11","中部","太陽光","9.73","8.65","9.56"
"2025/11","中部","風力","13.31","11.32","13.24"
"2025/11","中部","水力","12.86","11.26","13.02"
"2025/11","中部","バイオマス","12.86","11.26","13.02"
"2025/11","中部","地熱","12.86","11.26","13.02"
"2025/11","北陸","太陽光","9.12","8.31","9.14"
"2025/11","北陸","風力","12.11","10.59","11.44"
"2025/11","北陸","水力","11.81","10.73","11.62"
"2025/11","北陸","バイオマス","11.81","10.73","11.62"
"2025/11","北陸","地熱","11.81","10.73","11.62"
"2025/11","関西","太陽光","9.26","6.41","9.26"
"2025/11","関西","風力","12.19","10.08","11.89"
"2025/11","関西","水力","11.71","9.60","11.63"
"2025/11","関西","バイオマス","11.71","9.60","11.63"
"2025/11","関西","地熱","11.71","9.60","11.63"
"2025/11","中国","太陽光","9.20","6.53","9.10"
"2025/11","中国","風力","11.90","9.76","11.90"
"2025/11","中国","水力","11.66","9.58","11.58"
"2025/11","中国","バイオマス","11.66","9.58","11.58"
"2025/11","中国","地熱","11.66","9.58","11.58"
"2025/11","四国","太陽光","8.21","5.33","7.30"
"2025/11","四国","風力","10.61","9.03","10.39"
"2025/11","四国","水力","10.67","8.73","10.11"
"2025/11","四国","バイオマス","10.67","8.73","10.11"
"2025/11","四国","地熱","10.67","8.73","10.11"
"2025/11","九州","太陽光","7.40","4.97","6.25"
"2025/11","九州","風力","11.39","9.45","11.19"
"2025/11","九州","水力","10.86","9.19","10.65"
"2025/11","九州","バイオマス","10.86","9.19","10.65"
"2025/11","九州","地熱","10.86","9.19","10.65"
"2025/11","沖縄","太陽光","10.27","7.19","9.74"
"2025/11","沖縄","風力","12.82","11.07","13.02"
"2025/11","沖縄","水力","12.29","10.55","12.42"
"2025/11","沖縄","バイオマス","12.29","10.55","12.42"
"2025/11","沖縄","地熱","12.29","10.55","12.42"
"2025/12","北海道","太陽光","9.30","10.27","10.82"
"2025/12","北海道","風力","12.33","11.55","12.76"
"2025/12","北海道","水力","12.64","11.89","13.45"
"2025/12","北海道","バイオマス","12.64","11.89","13.45"
"2025/12","北海道","地熱","12.64","11.89","13.45"
"2025/12","東北","太陽光","9.18","8.55","9.36"
"2025/12","東北","風力","12.66","10.48","12.28"
"2025/12","東北","水力","12.71","10.60","12.61"
"2025/12","東北","バイオマス","12.71","10.60","12.61"
"2025/12","東北","地熱","12.71","10.60","12.61"
"2025/12","東京","太陽光","11.43","10.07","11.32"
"2025/12","東京","風力","13.68","11.07","13.85"
"2025/12","東京","水力","13.68","11.19","13.95"
"2025/12","東京","バイオマス","13.68","11.19","13.95"
"2025/12","東京","地熱","13.68","11.19","13.95"
"2025/12","中部","太陽光","9.73","8.82","11.17"
"2025/12","中部","風力","13.31","10.73","13.47"
"2025/12","中部","水力","12.86","10.59","13.85"
"2025/12","中部","バイオマス","12.86","10.59","13.85"
"2025/12","中部","地熱","12.86","10.59","13.85"
"2025/12","北陸","太陽光","9.12","8.52","10.61"
"2025/12","北陸","風力","12.11","9.95","11.53"
"2025/12","北陸","水力","11.81","10.18","11.82"
"2025/12","北陸","バイオマス","11.81","10.18","11.82"
"2025/12","北陸","地熱","11.81","10.18","11.82"
"2025/12","関西","太陽光","9.26","8.55","10.22"
"2025/12","関西","風力","12.19","10.38","11.81"
"2025/12","関西","水力","11.71","10.19","11.81"
"2025/12","関西","バイオマス","11.71","10.19","11.81"
"2025/12","関西","地熱","11.71","10.19","11.81"
"2025/12","中国","太陽光","9.20","8.50","10.39"
"2025/12","中国","風力","11.90","10.07","11.41"
"2025/12","中国","水力","11.66","10.15","11.79"
"2025/12","中国","バイオマス","11.66","10.15","11.79"
"2025/12","中国","地熱","11.66","10.15","11.79"
"2025/12","四国","太陽光","8.21","7.88","7.42"
"2025/12","四国","風力","10.61","9.91","9.41"
"2025/12","四国","水力","10.67","9.91","9.44"
"2025/12","四国","バイオマス","10.67","9.91","9.44"
"2025/12","四国","地熱","10.67","9.91","9.44"
"2025/12","九州","太陽光","7.40","7.79","7.06"
"2025/12","九州","風力","11.39","10.06","10.64"
"2025/12","九州","水力","10.86","9.97","10.65"
"2025/12","九州","バイオマス","10.86","9.97","10.65"
"2025/12","九州","地熱","10.86","9.97","10.65"
"2025/12","沖縄","太陽光","10.27","9.36","9.69"
"2025/12","沖縄","風力","12.82","10.81","12.04"
"2025/12","沖縄","水力","12.29","10.58","12.26"
"2025/12","沖縄","バイオマス","12.29","10.58","12.26"
"2025/12","沖縄","地熱","12.29","10.58","12.26"
